,rank,rmse,gamma,learning_rate,reg_lambda,reg_alpha,max_depth,colsample_bytree,colsample_bylevel,subsample,min_child_weight
0,1.0,0.47555635993791046,0.3333333333333333,0.06000000000000001,0.56,0.8888888888888888,16.0,0.5555555555555556,0.5555555555555556,1.0,6.0
1,2.0,0.47584413970279843,1.0,0.09000000000000001,0.56,1.0,16.0,0.6111111111111112,0.7222222222222222,1.0,4.0
2,3.0,0.4759374511162483,0.6666666666666666,0.09000000000000001,0.67,0.5555555555555556,11.0,0.5555555555555556,0.7222222222222222,1.0,2.0
3,4.0,0.4759468017716762,0.0,0.06000000000000001,0.78,1.0,11.0,0.7222222222222222,0.9444444444444444,0.7000000000000001,4.0
4,5.0,0.47639221209260585,0.8888888888888888,0.05000000000000001,1.0,0.6666666666666666,6.0,0.8888888888888888,0.6111111111111112,1.0,2.0
5,6.0,0.47641599304819154,0.4444444444444444,0.07,0.01,0.8888888888888888,16.0,0.6666666666666666,0.6666666666666666,1.0,7.0
6,7.0,0.4764335413872685,0.3333333333333333,0.06000000000000001,0.89,0.4444444444444444,6.0,0.6666666666666666,1.0,0.7000000000000001,9.0
7,8.0,0.47688731597918915,0.6666666666666666,0.07,0.56,0.8888888888888888,11.0,0.8333333333333333,0.7222222222222222,0.6,1.0
8,9.0,0.47726279557625634,0.3333333333333333,0.05000000000000001,0.56,0.8888888888888888,16.0,0.8333333333333333,0.5555555555555556,0.4,5.0
9,10.0,0.4775541425144792,1.0,0.09000000000000001,0.23,0.7777777777777777,11.0,0.8333333333333333,0.7222222222222222,0.6,3.0
10,11.0,0.4775703281833562,1.0,0.04000000000000001,1.0,0.2222222222222222,6.0,0.8888888888888888,0.9444444444444444,1.0,4.0
11,12.0,0.47766902650274284,0.2222222222222222,0.04000000000000001,0.45,0.4444444444444444,21.0,0.5,0.9444444444444444,0.6,8.0
12,13.0,0.47802734788516477,0.1111111111111111,0.04000000000000001,0.01,0.6666666666666666,21.0,0.7222222222222222,0.5,0.6,6.0
13,14.0,0.4788442440436742,0.7777777777777777,0.07,0.45,0.2222222222222222,11.0,0.8888888888888888,0.7222222222222222,0.4,1.0
14,15.0,0.4788660707143314,1.0,0.06000000000000001,0.34,0.1111111111111111,16.0,0.7777777777777778,0.9444444444444444,0.4,5.0
15,16.0,0.4793049708319625,0.7777777777777777,0.04000000000000001,0.45,0.8888888888888888,6.0,0.5555555555555556,0.6111111111111112,0.2,4.0
16,17.0,0.4793974151327611,0.2222222222222222,0.09000000000000001,1.0,0.6666666666666666,11.0,0.6111111111111112,1.0,0.6,1.0
17,18.0,0.47968955512551786,0.8888888888888888,0.04000000000000001,0.12,0.0,26.0,0.7222222222222222,0.5555555555555556,0.4,2.0
18,19.0,0.48138174817178375,0.5555555555555556,0.09000000000000001,0.78,1.0,11.0,0.6111111111111112,0.9444444444444444,0.30000000000000004,1.0
19,20.0,0.4814472976155328,0.5555555555555556,0.09000000000000001,0.67,0.6666666666666666,6.0,0.6111111111111112,0.7777777777777778,0.1,7.0
20,21.0,0.4816022579262269,1.0,0.06000000000000001,0.45,0.4444444444444444,16.0,1.0,0.6666666666666666,0.2,2.0
21,22.0,0.481631505226028,0.1111111111111111,0.06000000000000001,0.01,0.8888888888888888,21.0,0.6666666666666666,1.0,0.4,7.0
22,23.0,0.4817620529721652,0.5555555555555556,0.09000000000000001,0.56,0.7777777777777777,26.0,0.5,0.6111111111111112,0.6,1.0
23,24.0,0.48258625919468195,0.5555555555555556,0.09000000000000001,0.12,0.2222222222222222,6.0,0.6666666666666666,1.0,0.1,1.0
24,25.0,0.4831333309205184,0.7777777777777777,0.09000000000000001,1.0,0.5555555555555556,11.0,0.9444444444444444,0.5555555555555556,0.2,7.0
25,26.0,0.48428122976823157,0.0,0.09000000000000001,0.23,0.2222222222222222,11.0,0.9444444444444444,1.0,0.4,3.0
26,27.0,0.4849507327644164,0.5555555555555556,0.030000000000000006,0.78,0.7777777777777777,21.0,0.7777777777777778,0.6666666666666666,0.5,3.0
27,28.0,0.48510241888374855,0.8888888888888888,0.09000000000000001,0.56,1.0,21.0,0.7222222222222222,0.6111111111111112,0.2,5.0
28,29.0,0.4852822817895334,0.3333333333333333,0.030000000000000006,0.12,0.7777777777777777,21.0,0.9444444444444444,0.6666666666666666,0.8,5.0
29,30.0,0.48576339645478717,0.2222222222222222,0.030000000000000006,0.23,0.0,16.0,0.6111111111111112,0.7222222222222222,0.4,4.0
30,31.0,0.4859739202799872,0.1111111111111111,0.07,0.89,0.5555555555555556,16.0,0.8888888888888888,0.8333333333333333,0.2,8.0
31,32.0,0.48597617006795835,1.0,0.030000000000000006,0.12,0.8888888888888888,11.0,0.5,0.7777777777777778,0.30000000000000004,1.0
32,33.0,0.4861186287104466,0.0,0.04000000000000001,0.89,0.0,26.0,0.8333333333333333,0.7777777777777778,0.2,4.0
33,34.0,0.4864958328771513,0.7777777777777777,0.08,0.12,0.8888888888888888,1.0,0.7777777777777778,0.5555555555555556,0.1,6.0
34,35.0,0.4869707642152942,0.8888888888888888,0.07,1.0,0.6666666666666666,1.0,0.5555555555555556,0.7777777777777778,0.1,4.0
35,36.0,0.4881417971711749,0.2222222222222222,0.06000000000000001,0.34,0.2222222222222222,1.0,0.5,0.9444444444444444,0.30000000000000004,3.0
36,37.0,0.48831093175545476,0.0,0.06000000000000001,1.0,0.3333333333333333,1.0,0.6111111111111112,0.6111111111111112,0.2,6.0
37,38.0,0.48893408791920734,0.0,0.07,0.01,0.7777777777777777,26.0,1.0,0.7222222222222222,0.7000000000000001,1.0
38,39.0,0.48930341164387786,0.1111111111111111,0.05000000000000001,0.45,0.2222222222222222,1.0,0.8888888888888888,0.5555555555555556,0.4,5.0
39,40.0,0.49150948315590615,0.2222222222222222,0.04000000000000001,0.89,0.6666666666666666,1.0,0.8333333333333333,0.6111111111111112,0.2,7.0
40,41.0,0.4935584075354191,0.0,0.030000000000000006,0.12,0.0,21.0,1.0,0.8333333333333333,0.4,1.0
41,42.0,0.5005561072462101,1.0,0.030000000000000006,0.45,0.3333333333333333,1.0,0.8333333333333333,0.6666666666666666,0.30000000000000004,4.0
42,43.0,0.5077215239034382,0.0,0.09000000000000001,0.23,0.2222222222222222,16.0,0.5,0.6666666666666666,0.1,5.0
43,44.0,0.5423421854881031,0.7777777777777777,0.020000000000000004,1.0,0.3333333333333333,21.0,0.7777777777777778,0.9444444444444444,0.5,4.0
44,45.0,0.8444262669254239,0.3333333333333333,0.01,0.45,0.4444444444444444,11.0,0.8888888888888888,0.6111111111111112,0.6,4.0
45,46.0,0.8447420692352924,0.0,0.01,0.45,1.0,26.0,0.6666666666666666,0.7222222222222222,0.7000000000000001,9.0
46,47.0,0.8464148648394102,0.1111111111111111,0.01,0.23,0.5555555555555556,26.0,0.8888888888888888,0.6111111111111112,0.5,7.0
47,48.0,0.8479825893711503,0.1111111111111111,0.01,1.0,0.2222222222222222,26.0,0.5555555555555556,1.0,0.7000000000000001,5.0
48,49.0,0.8520427532615087,0.5555555555555556,0.01,0.23,0.2222222222222222,1.0,0.7777777777777778,1.0,0.1,2.0
49,50.0,0.8528860627482966,0.5555555555555556,0.01,0.78,0.2222222222222222,16.0,0.7222222222222222,0.8888888888888888,0.1,1.0
